"Long","Lat","Stn_Name","Clim_ID","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-112.967","54.283","ABEE AGDM","3010010","AB","13.3","0","NA","26.5","0","1.1","0","","","NA","37.2","0","NA","","8","","","NA","149.1","2.6"
"-111.181","53.113","ALBERT HALL AGCM","3010060","AB","14.3","0","NA","28.9","0","2.2","0","","","NA","46.2","0","NA","","8","","","NA","119.0","4.6"
"-111.779","52.315","ALLIANCE AGCM","3010162","AB","14.8","0","NA","32.4","0","2.9","0","","","NA","33.7","0","NA","","7","","","NA","111.1","10.8"
"-112.279","53.917","ANDREW AGDM","3010237","AB","13.7","2","NA","27.6","2","2.7","2","","","NA","28.8","2","NA","","7","","","NA","128.4","3.7"
"-111.465","52.582","BELLSHILL AGCM","3010650","AB","14.8","9","NA","29.9","9","3.9","9","","","NA","33.1","8","NA","","5","","","NA","80.0","9.0"
"-110.101","52.124","BODO AGDM","3010730","AB","15.9","0","NA","34.6","0","2.9","0","","","NA","30.6","0","NA","","8","","","NA","84.6","20.0"
"-114.441","53.089","BRETON PLOTS","3010816","AB","14.1","0","NA","27.4","0","1.7","0","","","NA","58.8","0","NA","","12","","","NA","127.6","5.6"
"-113.922","53.931","BUSBY AGCM","3010979","AB","13.8","0","NA","26.9","0","0.1","0","","","NA","39.2","0","NA","","11","","","NA","136.8","5.4"
"-110.510","52.334","CADOGAN AGCM","3010992","AB","15.3","0","NA","32.8","0","2.2","0","","","NA","26.2","1","NA","","6","","","NA","96.7","11.8"
"-112.817","53.050","CAMROSE","3011240","AB","14.4","1","-1.5","28.2","1","2.7","1","","","NA","76.9","1","NA","","10","","","NA","114.1","5.1"
"-110.713","51.937","CONSORT AGDM","3011815","AB","15.4","0","NA","34.0","0","3.8","0","","","NA","23.5","0","NA","","6","","","NA","94.9","14.1"
"-111.449","52.074","CORONATION CLIMATE","3011887","AB","14.7","1","NA","33.3","1","2.5","1","","","NA","23.2","1","NA","","4","","","NA","110.7","10.8"
"-113.903","52.733","CRESTOMERE AGCM","3011892","AB","14.3","0","NA","28.0","0","1.4","0","","","NA","64.4","0","NA","","11","","","NA","119.2","4.5"
"-113.176","52.183","DELBURNE AGCM","3012050","AB","14.4","0","NA","29.1","0","3.1","0","","","NA","32.2","3","NA","","5","","","NA","116.9","6.3"
"-110.588","53.659","DEWBERRY AGCM","3012073","AB","14.0","0","NA","27.9","0","0.5","0","","","NA","28.4","1","NA","","5","","","NA","129.7","5.8"
"-110.433","52.778","EDGERTON AGCM","3012192","AB","14.9","0","NA","31.9","0","2.9","0","","","NA","17.4","0","NA","","5","","","NA","105.2","9.8"
"-113.606","53.307","EDMONTON INTERNATIONAL CS","3012206","AB","14.1","1","NA","26.9","1","0.3","1","","","NA","59.9","1","NA","","14","","","NA","122.7","4.2"
"-113.517","53.573","EDMONTON BLATCHFORD","3012209","AB","15.9","0","NA","28.2","0","4.7","0","","","NA","49.9","0","NA","","12","","","NA","82.4","16.0"
"-113.467","53.667","EDMONTON NAMAO AWOS A","3012212","AB","14.5","0","NA","27.1","0","3.4","0","","","NA","","","NA","","","","","NA","115.4","7.1"
"-113.579","53.310","EDMONTON INTL A","3012216","AB","14.0","0","NA","26.7","0","0.4","0","0.0","5","NA","69.9","0","NA","","14","","","NA","129.6","4.2"
"-113.538","53.490","EDMONTON SOUTH CAMPUS","3012220","AB","15.6","0","NA","28.3","0","4.6","0","","","NA","54.7","0","NA","","15","","","NA","87.8","14.6"
"-113.856","53.668","EDMONTON VILLENEUVE A","3012229","AB","14.0","1","NA","26.2","1","0.0","1","","","NA","45.4","1","NA","","11","","","NA","124.6","5.0"
"-114.108","53.548","EDMONTON STONY PLAIN","301222F","AB","15.0","0","-1.0","26.5","0","5.0","0","0.0","0","0.0","69.8","0","110.0","0.0","14","","","NA","100.3","6.9"
"-112.868","53.683","ELK ISLAND NAT PARK","3012275","AB","14.2","0","-1.5","26.8","0","3.4","0","","","NA","31.0","0","59.0","","9","","","NA","123.2","5.9"
"-111.000","52.967","FABYAN","3012515","AB","14.5","0","-1.4","29.5","0","4.0","0","0.0","0","0.0","27.4","0","45.0","0.0","9","","","NA","112.1","3.3"
"-112.858","52.744","FERINTOSH AGCM","3012590","AB","13.8","0","NA","28.8","0","2.0","0","","","NA","40.0","0","NA","","10","","","NA","135.3","4.5"
"-111.813","52.041","FLEET AGCM","3012635","AB","14.7","0","NA","32.7","0","2.9","0","","","NA","21.8","3","NA","","5","","","NA","112.0","8.2"
"-112.120","52.467","FORESTBURG PLANT SITE","3012652","AB","15.8","0","-1.6","32.0","0","5.0","0","0.0","0","NA","40.0","0","72.0","0.0","9","","","NA","83.4","15.0"
"-112.123","52.548","FORESTBURG AGCM","3012653","AB","14.5","0","NA","30.2","0","2.4","0","","","NA","32.6","0","NA","","8","","","NA","115.6","7.7"
"-113.183","53.717","FORT SASKATCHEWAN","3012710","AB","15.2","4","-0.7","27.0","4","3.0","4","0.0","4","NA","24.0","4","NA","0.0","8","","","NA","79.3","4.5"
"-110.621","53.071","GILT EDGE NORTH AGCM","3012790","AB","15.0","11","NA","30.6","11","4.4","11","","","NA","29.7","11","NA","","5","","","NA","65.7","6.4"
"-114.320","53.295","ST. FRANCIS","3012799","AB","14.6","0","NA","26.2","0","5.4","0","","","NA","40.5","0","NA","","14","","","NA","110.1","5.9"
"-112.278","52.987","GLADSTONE AGCM","3012810","AB","13.8","0","NA","28.5","0","1.3","0","","","NA","63.3","2","NA","","11","","","NA","134.6","4.7"
"-114.539","53.833","GLENEVIS AGCM","3012818","AB","14.4","0","NA","26.2","0","2.3","0","","","NA","","","NA","","","","","NA","116.8","6.3"
"-110.803","52.113","GOOSEBERRY LAKE AGCM","3012871","AB","14.5","0","NA","34.1","0","0.8","0","","","NA","22.0","4","NA","","5","","","NA","119.3","10.7"
"-112.164","52.116","HALKIRK AGCM","3012999","AB","14.1","0","NA","30.8","0","1.4","0","","","NA","15.2","23","NA","","2","","","NA","125.7","6.3"
"-111.212","51.780","HEMARUKA AGCM","3013140","AB","15.3","0","NA","34.4","0","2.3","0","","","NA","16.4","4","NA","","4","","","NA","100.3","15.3"
