"Long","Lat","Stn_Name","Clim_ID","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-99.292","49.276","BALDUR","5010140","MB","-5.9","0","-1.4","6.0","0","-20.0","0","18.0","0","93.0","18.0","0","72.0","0.0","6","","","NA","716.7","0.0"
"-99.952","49.910","BRANDON A","5010481","MB","-6.0","0","NA","7.6","0","-19.9","0","14.2","2","NA","20.0","0","NA","7.0","5","","","NA","719.7","0.0"
"-99.950","49.900","BRANDON RCS","5010490","MB","-5.6","0","NA","7.4","0","-19.6","0","","","NA","17.6","0","NA","5.0","3","","","NA","708.6","0.0"
"-99.357","49.906","CARBERRY CS","5010547","MB","-5.6","0","NA","6.4","0","-20.5","0","","","NA","18.5","0","NA","5.0","5","","","NA","708.5","0.0"
"-99.074","49.562","CYPRESS RIVER RCS","5010641","MB","-5.2","0","NA","7.1","0","-19.2","0","","","NA","15.8","0","NA","6.0","4","","","NA","696.9","0.0"
"-101.203","49.927","ELKHORN 2 EAST","5010QFQ","MB","-5.5","0","-0.7","8.0","0","-20.0","0","17.8","0","85.0","19.4","0","75.0","3.0","7","","","NA","704.0","0.0"
"-98.300","49.983","PORTAGE ROMANCE","5012300","MB","","","NA","","","","","16.8","0","NA","22.9","0","NA","5.0","4","","","NA","",""
"-98.284","49.903","PORTAGE SOUTHPORT","5012324","MB","-4.9","0","NA","8.0","0","-18.4","0","","","NA","18.0","0","NA","4.0","4","","","NA","686.4","0.0"
"-101.363","51.183","ROBLIN","5012469","MB","-7.6","0","NA","5.1","0","-24.7","0","","","NA","15.3","0","NA","5.0","4","","","NA","768.9","0.0"
"-100.604","50.455","SHOAL LAKE CS","5012654","MB","-7.3","0","NA","5.4","0","-23.0","0","","","NA","10.1","0","NA","10.0","4","","","NA","760.2","0.0"
"-100.934","49.842","VIRDEN WATER","5012961","MB","-4.9","1","NA","9.0","1","-20.0","1","1.0","1","NA","1.0","1","NA","3.0","1","","","NA","665.0","0.0"
"-99.942","50.655","WASAGAMING","5013117","MB","-7.9","1","-1.0","5.1","1","-26.7","1","","","NA","13.9","1","NA","10.0","7","","","NA","752.4","0.0"
"-100.986","49.281","MELITA","501A7AR","MB","-5.3","0","NA","8.6","0","-20.6","0","","","NA","21.2","0","NA","5.0","6","","","NA","698.6","0.0"
"-101.400","51.267","ROBLIN FRIESEN 3 NORTHWEST","501B4G2","MB","","","NA","","","","","7.6","1","NA","18.6","1","NA","7.0","6","","","NA","",""
"-100.179","50.108","RIVERS PETTAPIECE","501BMMA","MB","","","NA","","","","","18.0","0","107.0","19.2","0","95.0","10.0","5","","","NA","",""
"-100.817","50.750","ROSSBURN 4 NORTH","501KE01","MB","","","NA","","","","","20.0","2","NA","23.6","2","NA","","8","","","NA","",""
"-97.238","49.000","EMERSON AUTO","5020881","MB","-4.9","0","NA","6.2","0","-18.6","0","","","NA","14.6","0","NA","8.0","3","","","NA","688.2","0.0"
"-97.560","49.031","GRETNA (AUT)","5021220","MB","-4.7","0","NA","9.0","0","-17.6","0","","","NA","11.8","0","NA","5.0","3","","","NA","679.7","0.0"
"-98.875","49.606","HOLLAND","5021302","MB","","","NA","","","","","9.0","14","NA","9.0","14","NA","0.0","3","","","NA","",""
"-96.901","49.518","KLEEFELD (MAFRI)","5021500","MB","-5.5","2","NA","5.1","2","-20.3","2","","","NA","12.1","2","NA","","4","","","NA","658.5","0.0"
"-97.807","50.013","MARQUETTE","5021695","MB","-5.1","6","-0.6","6.0","6","-19.0","6","11.2","6","NA","15.0","6","NA","3.0","4","","","NA","554.1","0.0"
"-98.084","49.188","MORDEN CDA CS","5021849","MB","-4.3","0","NA","10.0","0","-18.6","0","","","NA","14.5","0","NA","1.0","2","","","NA","669.6","0.0"
"-96.850","49.933","OAKBANK","5022051","MB","","","NA","","","","","13.8","0","55.0","18.8","0","56.0","2.0","7","","","NA","",""
"-98.905","49.191","PILOT MOUND (AUT)","5022125","MB","-6.1","0","NA","7.7","0","-21.6","0","","","NA","14.2","0","NA","6.0","5","","","NA","723.4","0.0"
"-96.035","49.353","ST LABRE","5022575","MB","","","NA","","","","","32.0","0","100.0","38.0","0","85.0","0.0","11","","","NA","",""
"-97.950","49.133","SCHANZENFELD","5022623","MB","","","NA","","","","","15.8","1","NA","24.6","1","NA","2.0","3","","","NA","",""
"-95.598","49.024","SPRAGUE","5022759","MB","-6.7","10","NA","5.6","10","-23.2","8","","","NA","13.3","8","NA","8.0","3","","","NA","494.3","0.0"
"-97.167","50.117","STONY MOUNTAIN","5022791","MB","-5.0","0","-0.3","9.0","0","-21.0","0","5.2","0","25.0","5.2","0","19.0","0.0","3","","","NA","688.8","0.0"
"-97.273","49.850","WINNIPEG CHARLESWOOD 2","5023225","MB","","","NA","","","","","14.8","0","NA","21.2","0","NA","2.0","7","","","NA","",""
"-97.240","49.910","WINNIPEG INTL A","5023227","MB","-5.8","0","NA","4.7","0","-19.9","0","","","NA","","","NA","","","","","NA","714.4","0.0"
"-97.129","49.888","WINNIPEG THE FORKS","5023262","MB","-4.5","1","NA","4.9","1","-16.6","1","","","NA","16.1","0","NA","","5","","","NA","653.2","0.0"
"-98.030","49.498","CARMAN U OF M CS","502I001","MB","-5.4","0","NA","8.8","0","-21.0","0","","","NA","16.6","0","NA","","4","","","NA","703.4","0.0"
"-97.249","49.917","WINNIPEG A CS","502S001","MB","-5.7","0","NA","4.6","0","-20.4","0","","","NA","13.1","0","NA","0.0","4","","","NA","711.9","0.0"
"-97.022","52.360","BERENS RIVER CS","5030203","MB","-7.8","0","-1.3","3.1","0","-21.5","0","","","NA","28.8","0","92.0","17.0","11","","","NA","772.7","0.0"
"-97.018","52.359","BERENS RIVER A","5030204","MB","-7.4","3","NA","3.1","3","-21.6","3","","","NA","","","NA","","","","","NA","684.7","0.0"
