"Long","Lat","Stn_Name","Clim_ID","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-112.967","54.283","ABEE AGDM","3010010","AB","-11.3","6","NA","7.3","6","-34.0","6","","","NA","13.8","6","NA","","5","","","NA","733.5","0.0"
"-111.181","53.113","ALBERT HALL AGCM","3010060","AB","-10.8","0","NA","6.0","0","-29.3","0","","","NA","12.4","0","NA","","3","","","NA","893.1","0.0"
"-111.779","52.315","ALLIANCE AGCM","3010162","AB","-8.1","0","NA","7.9","0","-25.6","0","","","NA","5.7","0","NA","","2","","","NA","809.0","0.0"
"-112.279","53.917","ANDREW AGDM","3010237","AB","-10.4","3","NA","5.7","3","-31.3","3","","","NA","10.9","2","NA","","4","","","NA","794.7","0.0"
"-111.465","52.582","BELLSHILL AGCM","3010650","AB","-9.0","8","NA","6.7","8","-23.5","8","","","NA","6.1","8","NA","","1","","","NA","620.5","0.0"
"-110.101","52.124","BODO AGDM","3010730","AB","-10.0","0","NA","6.6","0","-28.3","0","","","NA","10.8","0","NA","","4","","","NA","867.7","0.0"
"-114.441","53.089","BRETON PLOTS","3010816","AB","-6.0","0","NA","10.5","0","-24.5","0","","","NA","38.6","0","NA","","18","","","NA","742.5","0.0"
"-113.922","53.931","BUSBY AGCM","3010979","AB","-8.9","0","NA","8.0","0","-27.3","0","","","NA","18.6","0","NA","","4","","","NA","834.2","0.0"
"-110.510","52.334","CADOGAN AGCM","3010992","AB","-9.7","0","NA","5.7","0","-26.5","0","","","NA","8.9","0","NA","","3","","","NA","859.8","0.0"
"-112.817","53.050","CAMROSE","3011240","AB","-8.4","1","3.2","7.8","1","-22.6","1","","","NA","6.8","1","NA","13.0","2","","","NA","791.7","0.0"
"-110.713","51.937","CONSORT AGDM","3011815","AB","-9.5","0","NA","6.0","0","-26.2","0","","","NA","4.5","0","NA","","1","","","NA","853.1","0.0"
"-111.449","52.074","CORONATION CLIMATE","3011887","AB","-9.3","0","NA","7.5","0","-26.7","0","","","NA","7.1","0","NA","3.0","2","","","NA","845.6","0.0"
"-113.903","52.733","CRESTOMERE AGCM","3011892","AB","-6.8","0","NA","9.8","0","-27.3","0","","","NA","6.0","0","NA","","2","","","NA","768.6","0.0"
"-113.176","52.183","DELBURNE AGCM","3012050","AB","-6.5","0","NA","8.9","0","-21.6","0","","","NA","4.4","1","NA","","0","","","NA","760.9","0.0"
"-110.588","53.659","DEWBERRY AGCM","3012073","AB","-12.8","0","NA","6.5","0","-36.4","0","","","NA","13.5","1","NA","","6","","","NA","953.5","0.0"
"-110.433","52.778","EDGERTON AGCM","3012192","AB","-10.5","4","NA","6.0","4","-30.6","4","","","NA","6.3","4","NA","","2","","","NA","769.2","0.0"
"-113.606","53.307","EDMONTON INTERNATIONAL CS","3012206","AB","-8.4","0","NA","7.7","0","-28.2","0","","","NA","17.6","1","NA","","4","","","NA","816.9","0.0"
"-113.517","53.573","EDMONTON BLATCHFORD","3012209","AB","-6.8","0","NA","9.3","0","-22.4","0","","","NA","12.4","0","NA","28.0","3","","","NA","768.3","0.0"
"-113.467","53.667","EDMONTON NAMAO AWOS A","3012212","AB","-8.1","2","NA","8.5","2","-26.2","2","","","NA","","","NA","","","","","NA","757.8","0.0"
"-113.579","53.310","EDMONTON INTL A","3012216","AB","-8.4","0","NA","7.6","0","-27.4","0","15.2","3","NA","11.7","0","NA","16.0","4","","","NA","817.2","0.0"
"-113.538","53.490","EDMONTON SOUTH CAMPUS","3012220","AB","-6.6","0","NA","9.9","0","-21.4","0","","","NA","12.7","0","NA","","3","","","NA","763.4","0.0"
"-113.856","53.668","EDMONTON VILLENEUVE A","3012229","AB","-7.9","0","NA","10.3","0","-27.9","0","","","NA","13.7","0","NA","","4","","","NA","802.5","0.0"
"-114.108","53.548","EDMONTON STONY PLAIN","301222F","AB","-6.6","0","3.3","9.5","0","-22.5","0","20.6","0","87.0","16.8","0","78.0","5.0","5","","","NA","762.5","0.0"
"-112.868","53.683","ELK ISLAND NAT PARK","3012275","AB","-9.3","0","2.7","8.8","0","-31.1","0","","","NA","26.8","0","147.0","39.0","7","","","NA","847.0","0.0"
"-111.000","52.967","FABYAN","3012515","AB","-11.2","0","2.9","5.5","0","-29.0","0","14.0","0","74.0","14.2","0","72.0","0.0","3","","","NA","905.2","0.0"
"-112.858","52.744","FERINTOSH AGCM","3012590","AB","-8.4","0","NA","9.0","0","-25.2","0","","","NA","7.3","0","NA","","2","","","NA","817.0","0.0"
"-111.813","52.041","FLEET AGCM","3012635","AB","-8.3","2","NA","6.6","2","-24.9","2","","","NA","4.3","5","NA","","2","","","NA","762.6","0.0"
"-112.120","52.467","FORESTBURG PLANT SITE","3012652","AB","-8.3","1","1.9","9.0","1","-21.5","1","13.8","1","NA","13.8","1","NA","0.0","5","","","NA","789.8","0.0"
"-112.123","52.548","FORESTBURG AGCM","3012653","AB","-8.1","0","NA","8.6","0","-23.8","0","","","NA","6.4","0","NA","","1","","","NA","808.6","0.0"
"-113.183","53.717","FORT SASKATCHEWAN","3012710","AB","-7.5","7","4.4","8.0","7","-25.0","7","27.0","7","NA","34.0","7","NA","0.0","8","","","NA","612.5","0.0"
"-110.621","53.071","GILT EDGE NORTH AGCM","3012790","AB","-10.2","8","NA","5.6","8","-26.2","8","","","NA","2.4","8","NA","","0","","","NA","649.6","0.0"
"-114.320","53.295","ST. FRANCIS","3012799","AB","-5.9","0","NA","10.0","0","-21.2","0","","","NA","13.1","0","NA","","5","","","NA","741.4","0.0"
"-112.278","52.987","GLADSTONE AGCM","3012810","AB","-9.4","0","NA","5.6","0","-26.6","0","","","NA","6.8","0","NA","","1","","","NA","849.0","0.0"
"-114.539","53.833","GLENEVIS AGCM","3012818","AB","-7.1","0","NA","9.1","0","-24.2","0","","","NA","","","NA","","","","","NA","777.2","0.0"
"-110.803","52.113","GOOSEBERRY LAKE AGCM","3012871","AB","-9.9","0","NA","7.3","0","-33.0","0","","","NA","6.2","3","NA","","2","","","NA","864.3","0.0"
"-112.164","52.116","HALKIRK AGCM","3012999","AB","-8.6","0","NA","8.0","0","-24.1","0","","","NA","4.3","14","NA","","0","","","NA","824.0","0.0"
"-111.212","51.780","HEMARUKA AGCM","3013140","AB","-8.9","0","NA","6.3","0","-29.3","0","","","NA","4.7","2","NA","","1","","","NA","834.3","0.0"
"-112.246","53.185","HOLDEN AGDM","3013340","AB","-9.5","0","NA","6.0","0","-27.3","0","","","NA","3.2","22","NA","","0","","","NA","853.1","0.0"
"-110.784","52.578","HUGHENDEN AGCM","3013362","AB","-10.2","9","NA","5.9","9","-25.4","9","","","NA","5.2","9","NA","","2","","","NA","620.3","0.0"
"-111.872","52.848","KILLAM AGDM","3013640","AB","-9.4","0","NA","6.3","0","-26.1","0","","","NA","","","NA","","","","","NA","848.4","0.0"
"-111.548","53.047","KINSELLA RESEARC STATION","3013647","AB","-10.1","0","NA","6.4","0","-27.2","0","","","NA","8.1","0","NA","","3","","","NA","872.2","0.0"
"-110.416","53.353","KITSCOTY AGCM","3013660","AB","-11.7","3","NA","5.6","3","-30.2","3","","","NA","11.3","3","NA","","3","","","NA","830.9","0.0"
"-113.474","54.003","LEGAL AGCM","3013790","AB","-9.0","0","NA","6.8","0","-27.6","0","","","NA","15.0","0","NA","","5","","","NA","838.1","0.0"
"-110.579","53.943","LINDBERGH AGDM","3013921","AB","-13.0","7","NA","7.3","7","-34.0","7","","","NA","9.6","7","NA","","4","","","NA","744.5","0.0"
"-110.073","53.309","LLOYDMINSTER","3013959","AB","-12.4","0","NA","5.3","0","-30.8","0","","","NA","9.2","0","NA","","3","","","NA","941.6","0.0"
"-110.073","53.309","LLOYDMINSTER A","3013961","AB","-12.8","0","1.4","5.0","0","-30.0","0","22.8","0","134.0","22.8","0","145.0","21.0","7","","","NA","955.2","0.0"
"-111.255","53.456","MANNVILLE AGCM","3014195","AB","-11.0","0","NA","6.2","0","-27.0","0","","","NA","13.8","0","NA","","4","","","NA","897.6","0.0"
"-110.550","52.017","MONITOR","3014600","AB","","","NA","","","","","12.8","0","71.0","13.4","0","70.0","0.0","5","","","NA","",""
"-112.300","53.567","MUNDARE AGDM","3014665","AB","-9.6","4","NA","7.8","4","-27.1","4","","","NA","13.6","4","NA","22.0","3","","","NA","746.0","0.0"
"-111.114","53.720","MYRNAM AGCM","3014690","AB","-14.1","10","NA","8.0","10","-35.1","10","","","NA","7.0","10","NA","","3","","","NA","674.0","0.0"
"-113.165","53.262","NEW SAREPTA AGCM","3014795","AB","-8.1","2","NA","8.3","2","-24.1","2","","","NA","9.8","2","NA","","4","","","NA","755.6","0.0"
