"Long","Lat","Stn_Name","Clim_ID","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-123.742","48.935","CHEMAINUS","1011500","BC","21.2","0","NA","33.0","0","10.5","0","0.0","0","NA","0.4","0","NA","0.0","0","","","NA","3.6","104.3"
"-124.052","48.829","LAKE COWICHAN","1012055","BC","20.5","14","2.7","37.0","9","6.0","10","0.0","30","NA","6.7","25","NA","","3","","","NA","5.2","48.2"
"-123.226","48.425","DISCOVERY ISLAND","1012475","BC","","","NA","26.1","0","","","","","NA","","","NA","","","","","NA","",""
"-123.439","48.432","ESQUIMALT HARBOUR","1012710","BC","17.0","0","NA","25.0","0","10.5","0","","","NA","0.2","0","NA","","0","","","NA","36.9","4.6"
"-123.573","48.985","GALIANO NORTH","10130MN","BC","20.1","2","NA","30.0","2","12.5","2","0.0","2","NA","6.0","2","NA","0.0","1","","","NA","2.2","62.4"
"-123.530","48.575","MALAHAT","1014820","BC","20.5","0","NA","30.8","0","9.4","0","","","NA","1.0","0","NA","","0","","","NA","17.4","94.9"
"-123.561","48.374","METCHOSIN","1015105","BC","","","NA","","","","","0.0","16","NA","0.8","16","NA","","0","","","NA","",""
"-123.718","48.824","NORTH COWICHAN","1015628","BC","","","NA","","","","","0.0","0","NA","0.6","0","3.0","0.0","0","","","NA","",""
"-123.719","48.824","NORTH COWICHAN","1015630","BC","20.1","0","NA","34.5","0","7.0","0","","","NA","0.2","0","NA","","0","","","NA","9.7","76.2"
"-123.287","48.764","NORTH PENDER ISLAND","1015638","BC","20.4","2","NA","33.0","2","10.0","2","0.0","2","NA","3.4","2","NA","0.0","2","","","NA","6.7","75.9"
"-123.531","48.298","RACE ROCKS","1016640","BC","14.3","0","NA","25.3","0","9.5","0","","","NA","","","NA","","","","","NA","114.6","0.8"
"-123.419","48.622","SAANICHTON CDA","1016940","BC","18.8","4","1.8","29.0","2","10.0","2","0.0","2","NA","3.4","2","NA","0.0","2","","","NA","12.0","34.0"
"-123.546","48.888","SALTSPRING ST MARY'S L","1016995","BC","20.9","0","2.7","31.0","0","12.0","0","0.0","0","NA","1.8","0","8.0","0.0","1","","","NA","2.1","91.1"
"-123.128","48.775","SATURNA CAPMON CS","1017099","BC","19.2","2","NA","29.7","0","9.8","2","","","NA","6.0","0","NA","","1","","","NA","23.1","56.6"
"-123.045","48.784","SATURNA ISLAND CS","1017101","BC","18.6","0","NA","27.5","0","11.6","0","","","NA","3.6","0","NA","","1","","","NA","15.8","34.5"
"-123.626","48.647","SHAWNIGAN LAKE","1017230","BC","20.2","0","2.5","33.0","0","9.0","0","0.0","0","NA","1.8","0","8.0","0.0","1","","","NA","10.2","77.6"
"-123.305","48.457","VICTORIA UNIVERSITY CS","1018598","BC","18.6","0","NA","30.3","0","7.5","0","","","NA","0.9","0","NA","","0","","","NA","16.8","36.4"
"-123.325","48.413","VICTORIA GONZALES CS","1018611","BC","17.1","0","NA","26.4","0","10.4","0","","","NA","0.0","0","NA","","0","","","NA","36.0","6.9"
"-123.426","48.647","VICTORIA INTL A","1018621","BC","18.3","1","NA","30.4","0","9.0","1","0.0","1","NA","2.2","1","NA","","1","","","NA","17.4","26.0"
"-124.160","49.350","BALLENAS ISLAND","1020590","BC","19.4","0","NA","28.0","0","13.1","0","","","NA","6.4","0","NA","","2","","","NA","8.5","50.9"
"-125.273","49.952","CAMPBELL RIVER A","1021261","BC","19.3","0","2.1","34.0","0","7.5","0","0.0","0","NA","6.0","0","15.0","0.0","3","","","NA","22.0","63.7"
"-125.195","49.998","CAPE MUDGE","1021330","BC","19.6","0","2.4","30.5","0","10.5","0","0.0","0","NA","3.6","0","9.0","0.0","2","","","NA","9.4","59.0"
"-124.683","49.472","CHROME ISLAND","1021500","BC","19.6","0","NA","31.0","0","9.0","0","0.0","0","NA","10.9","0","NA","0.0","2","","","NA","7.1","55.4"
"-124.900","49.717","COMOX A","1021830","BC","20.6","4","2.6","32.9","4","9.7","4","0.0","4","NA","4.2","4","NA","","2","","","NA","7.3","77.5"
"-124.949","50.071","CORTES ISLAND TIBER BAY","1021960","BC","20.4","2","NA","33.0","2","9.5","2","0.0","2","NA","6.3","2","NA","0.0","2","","","NA","5.9","76.6"
"-124.999","49.763","COURTENAY GRANTHAM","1021988","BC","24.2","28","NA","34.5","28","14.0","28","0.0","28","NA","0.0","28","NA","","0","","","NA","0.0","18.5"
"-125.033","49.686","COURTENAY PUNTLEDGE","1021989","BC","19.6","5","NA","35.0","4","6.0","3","0.0","4","NA","47.6","4","NA","0.0","2","","","NA","13.8","56.5"
"-123.811","49.209","ENTRANCE ISLAND","1022689","BC","19.4","0","NA","26.9","0","13.5","0","","","NA","1.6","0","NA","","1","","","NA","7.4","50.6"
"-125.993","50.454","FANNY ISLAND","1022795","BC","14.7","1","NA","23.6","1","10.2","1","","","NA","22.4","1","NA","","3","","","NA","99.6","0.2"
"-125.203","50.099","HERIOT BAY SE","1023462","BC","19.3","3","NA","30.5","3","10.0","3","0.0","3","NA","6.0","3","NA","","3","","","NA","9.4","45.3"
"-124.512","49.353","LITTLE QUALICUM HATCHERY","1024638","BC","18.3","16","1.7","32.0","16","6.0","16","0.0","16","NA","3.4","16","NA","0.0","1","","","NA","13.2","18.3"
"-123.870","49.054","NANAIMO A","1025369","BC","20.3","0","NA","34.0","0","7.0","0","0.0","0","NA","3.0","0","NA","0.0","1","","","NA","7.7","78.8"
"-123.988","49.199","NANAIMO CITY YARD","10253G0","BC","","","NA","","","","","0.0","0","NA","1.5","0","6.0","0.0","1","","","NA","",""
"-127.367","50.681","PORT HARDY A","1026271","BC","14.7","1","NA","24.0","1","6.0","0","0.0","2","NA","15.0","1","NA","","3","","","NA","100.4","0.0"
"-124.394","49.337","QUALICUM BEACH AIRPORT","1026562","BC","19.3","0","NA","32.5","0","9.0","0","","","NA","5.3","0","NA","","2","","","NA","13.7","55.1"
"-125.304","50.016","QUINSAM RIVER HATCHERY","1026639","BC","19.5","0","2.1","35.0","0","8.0","0","0.0","0","NA","8.2","0","20.0","0.0","4","","","NA","11.8","57.0"
