"Long","Lat","Stn_Name","Clim_ID","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-99.292","49.276","BALDUR","5010140","MB","16.3","0","-2.0","30.0","0","1.5","0","0.0","0","NA","63.3","0","87.0","0.0","8","","","NA","74.4","20.4"
"-99.952","49.910","BRANDON A","5010481","MB","16.4","0","NA","30.8","0","2.9","0","0.0","7","NA","84.0","2","NA","","10","","","NA","71.3","22.0"
"-99.950","49.900","BRANDON RCS","5010490","MB","16.8","0","NA","30.9","0","4.0","0","","","NA","74.9","0","NA","","10","","","NA","63.3","25.8"
"-99.357","49.906","CARBERRY CS","5010547","MB","16.8","0","NA","31.2","0","2.8","0","","","NA","104.7","0","NA","","10","","","NA","63.5","26.6"
"-99.074","49.562","CYPRESS RIVER RCS","5010641","MB","17.1","0","NA","30.6","0","3.0","0","","","NA","35.3","0","NA","","7","","","NA","60.5","31.7"
"-101.203","49.927","ELKHORN 2 EAST","5010QFQ","MB","17.5","0","-0.4","33.5","0","4.0","0","0.0","0","NA","82.8","0","158.0","0.0","9","","","NA","49.9","34.9"
"-98.300","49.983","PORTAGE ROMANCE","5012300","MB","","","NA","","","","","0.0","0","NA","47.9","0","NA","0.0","12","","","NA","",""
"-98.267","49.950","PORTAGE LA PRAIRIE CDA","5012321","MB","","","NA","","","","","0.0","27","NA","13.2","27","NA","","4","","","NA","",""
"-98.284","49.903","PORTAGE SOUTHPORT","5012324","MB","18.1","2","NA","31.8","2","5.9","2","","","NA","36.5","2","NA","","8","","","NA","33.1","36.6"
"-101.363","51.183","ROBLIN","5012469","MB","15.0","0","NA","29.0","0","1.5","0","","","NA","44.6","0","NA","","7","","","NA","106.7","14.6"
"-100.604","50.455","SHOAL LAKE CS","5012654","MB","15.2","1","NA","29.6","1","3.0","1","","","NA","61.0","1","NA","","7","","","NA","98.4","15.6"
"-100.934","49.842","VIRDEN WATER","5012961","MB","17.5","0","NA","32.0","0","5.0","0","0.0","0","NA","117.8","0","NA","0.0","10","","","NA","45.9","30.6"
"-99.942","50.655","WASAGAMING","5013117","MB","14.9","0","-0.7","30.8","0","1.9","0","","","NA","56.5","0","95.0","","8","","","NA","108.7","11.6"
"-100.986","49.281","MELITA","501A7AR","MB","17.6","0","NA","31.4","0","4.8","0","","","NA","100.5","0","NA","","9","","","NA","44.7","32.6"
"-101.400","51.267","ROBLIN FRIESEN 3 NORTHWEST","501B4G2","MB","","","NA","","","","","0.0","0","NA","28.2","0","NA","0.0","8","","","NA","",""
"-100.179","50.108","RIVERS PETTAPIECE","501BMMA","MB","","","NA","","","","","0.0","0","NA","97.7","0","166.0","0.0","13","","","NA","",""
"-100.817","50.750","ROSSBURN 4 NORTH","501KE01","MB","","","NA","","","","","0.0","4","NA","62.8","4","NA","0.0","10","","","NA","",""
"-98.319","49.400","DEERWOOD RCS","5020725","MB","18.6","1","NA","31.5","1","4.8","1","","","NA","64.1","1","NA","","9","","","NA","31.3","49.3"
"-97.238","49.000","EMERSON AUTO","5020881","MB","18.0","0","NA","32.7","0","3.5","0","","","NA","24.8","0","NA","","8","","","NA","41.4","41.4"
