"Long","Lat","Stn_Name","Clim_ID","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-82.432","52.928","ATTAWAPISKAT A","6010400","ON","15.7","0","NA","28.8","0","2.7","0","","","NA","25.9","0","NA","","7","","","NA","84.1","13.6"
"-89.897","53.818","BIG TROUT LAKE A","6010735","ON","15.2","0","NA","26.6","0","2.7","0","","","NA","122.4","2","NA","","14","","","NA","97.1","9.7"
"-89.892","53.816","BIG TROUT LAKE","6010740","ON","15.1","0","NA","27.1","0","2.2","0","","","NA","151.6","0","NA","","16","","","NA","98.2","9.8"
"-93.221","50.631","EAR FALLS (AUT)","6012199","ON","17.2","3","NA","31.4","3","4.7","3","","","NA","64.9","3","NA","","11","","","NA","50.0","27.9"
"-87.676","56.019","FORT SEVERN A","6012501","ON","12.7","22","NA","25.8","22","3.0","22","","","NA","7.5","22","NA","","3","","","NA","47.4","0.0"
"-87.934","52.196","LANSDOWNE HOUSE A","6014351","ON","15.6","0","NA","29.2","0","1.7","0","","","NA","66.5","0","NA","","12","","","NA","85.6","10.3"
"-87.936","52.196","LANSDOWNE HOUSE (AUT)","6014353","ON","15.4","0","NA","28.8","0","1.4","0","","","NA","55.7","0","NA","","10","","","NA","88.7","9.1"
"-91.763","53.441","MUSKRAT DAM","6015026","ON","15.5","0","NA","28.6","0","2.8","0","","","NA","86.5","2","NA","","10","","","NA","91.5","14.6"
"-85.433","54.983","PEAWANUCK (AUT)","6016295","ON","13.8","0","NA","26.6","0","2.9","0","","","NA","85.7","0","NA","","15","","","NA","139.1","8.7"
"-85.443","54.988","PEAWANUCK A","6016298","ON","13.9","0","NA","26.7","0","2.8","0","","","NA","","","NA","","","","","NA","137.4","9.1"
"-90.218","51.449","PICKLE LAKE (AUT)","6016525","ON","16.5","0","NA","29.5","0","3.4","0","","","NA","64.5","0","NA","","12","","","NA","69.5","22.8"
"-90.214","51.446","PICKLE LAKE A","6016528","ON","16.5","0","NA","29.3","0","3.0","0","","","NA","0.0","24","NA","","0","","","NA","69.0","23.4"
"-93.793","51.067","RED LAKE A","6016971","ON","16.8","0","NA","31.6","0","1.9","0","","","NA","","","NA","","","","","NA","62.5","26.7"
"-93.344","53.064","SANDY LAKE A","6017401","ON","15.9","0","NA","27.7","0","3.9","0","","","NA","109.6","0","NA","","14","","","NA","85.3","20.1"
"-93.967","48.633","BARWICK","6020559","ON","17.9","0","0.0","31.5","0","5.0","0","0.0","0","NA","122.2","0","155.0","0.0","8","","","NA","36.2","33.9"
"-91.628","48.761","ATIKOKAN (AUT)","6020LPQ","ON","16.5","0","NA","29.8","0","4.4","0","","","NA","138.9","0","NA","","13","","","NA","66.7","18.9"
"-93.439","48.651","FORT FRANCES RCS","6022474","ON","16.7","0","NA","30.1","0","4.2","0","","","NA","154.3","0","NA","","10","","","NA","62.6","22.7"
"-92.623","48.760","MINE CENTRE SOUTHWEST","6025205","ON","18.0","0","NA","31.0","0","5.0","0","0.0","0","NA","140.8","0","NA","0.0","9","","","NA","38.7","38.0"
"-92.744","49.828","DRYDEN REGIONAL","6032125","ON","17.4","0","NA","29.7","0","6.5","0","","","NA","74.2","1","NA","","10","","","NA","54.3","34.5"
"-94.378","49.791","KENORA RCS","6034073","ON","18.2","0","NA","30.6","0","8.0","0","","","NA","110.7","0","NA","","7","","","NA","36.9","43.2"
"-94.363","49.788","KENORA A","6034076","ON","17.8","3","NA","30.0","3","7.9","3","0.0","11","NA","119.4","0","NA","","7","","","NA","36.0","31.3"
"-93.717","49.650","RAWSON LAKE","6036904","ON","15.3","0","-3.0","23.5","0","8.0","0","0.0","0","NA","52.6","0","60.0","0.0","7","","","NA","92.5","9.7"
"-93.733","49.664","RAWSON LAKE (AUT)","6036907","ON","17.7","0","NA","30.4","0","8.0","0","","","NA","2.6","6","NA","","1","","","NA","45.7","34.9"
